Channel,Elevation,Azimuth
1,14.459,3.125
2,13.528,3.132
3,13.083,0.933
4,12.63,3.139
5,12.16,0.937
6,11.708,3.141
7,11.237,0.943
8,10.771,3.144
9,10.304,0.948
10,9.817,3.148
11,9.354,0.948
12,8.878,3.148
13,8.403,0.954
14,7.924,3.153
15,7.443,0.953
16,6.95,-1.261
17,6.47,0.948
18,5.967,-1.259
19,5.481,-3.453
20,4.991,-1.26
21,4.504,-3.451
22,3.996,-1.247
23,3.512,-3.445
24,3.013,-1.248
25,2.513,-3.449
26,2.005,-1.25
27,1.899,7.588
28,1.766,5.404
29,1.632,3.176
30,1.51,-3.445
31,1.389,0.959
32,1.242,-5.662
33,1.118,-7.856
34,0.995,-1.249
35,0.881,7.605
36,0.748,5.415
37,0.622,3.187
38,0.516,-3.44
39,0.391,0.969
40,0.243,-5.655
41,0.116,-7.852
42,-0.004,-1.239
43,-0.126,7.616
44,-0.258,5.421
45,-0.384,3.195
46,-0.493,-3.441
47,-0.621,0.974
48,-0.768,-5.655
49,-0.9,-7.868
50,-1.018,-1.238
51,-1.135,7.62
52,-1.262,5.435
53,-1.391,3.203
54,-1.503,-3.444
55,-1.638,0.981
56,-1.755,-5.661
57,-1.898,-7.869
58,-2.025,-1.236
59,-2.148,7.629
60,-2.279,5.439
61,-2.419,3.211
62,-2.512,-3.447
63,-2.653,0.988
64,-2.78,-5.668
65,-2.912,-7.879
66,-3.036,-1.233
67,-3.164,7.641
68,-3.298,5.452
69,-3.438,3.214
70,-3.532,-3.445
71,-3.671,0.996
72,-3.799,-5.675
73,-3.914,-7.888
74,-4.058,-1.23
75,-4.19,7.646
76,-4.32,5.457
77,-4.444,3.22
78,-4.552,-3.448
79,-4.69,0.988
80,-4.809,-5.686
81,-4.926,-7.906
82,-5.076,-1.229
83,-5.203,7.657
84,-5.33,5.47
85,-5.473,3.229
86,-5.571,-3.453
87,-5.716,1.005
88,-5.813,-5.691
89,-5.936,-7.919
90,-6.098,-1.224
91,-6.587,-3.454
92,-7.106,-1.224
93,-7.597,-3.464
94,-8.127,-1.223
95,-8.618,-3.463
96,-9.154,3.267
97,-9.627,-3.464
98,-10.167,3.273
99,-10.639,1.031
100,-11.163,3.284
101,-11.641,1.038
102,-12.165,3.304
103,-12.646,1.052
104,-13.156,3.314
105,-13.642,1.052
106,-14.151,3.328
107,-14.625,1.064
108,-15.123,3.331
109,-15.613,1.071
110,-16.102,3.352
111,-16.583,1.08
112,-17.062,-1.198
113,-17.546,1.095
114,-18.024,-1.185
115,-18.504,-3.479
116,-18.975,-1.183
117,-19.448,-3.469
118,-19.928,-1.18
119,-20.406,-3.471
120,-20.854,-1.178
121,-21.327,-3.473
122,-21.808,-1.172
123,-22.256,-3.471
124,-22.713,-1.171
125,-23.18,-3.466
126,-23.611,-1.19
127,-24.076,-3.474
128,-24.98,-3.482
