Channel,Elevation,Azimuth
1,-52.461,8.826
2,-50.924,8.521
3,-49.4,8.235
4,-47.993,7.993
5,-46.607,7.754
6,-45.299,7.567
7,-43.987,7.379
8,-42.771,7.227
9,-41.534,7.074
10,-40.373,6.939
11,-39.212,6.814
12,-38.116,6.701
13,-36.994,6.599
14,-35.94,6.509
15,-34.874,6.418
16,-33.862,6.345
17,-32.84,6.271
18,-31.857,6.209
19,-30.856,6.136
20,-29.914,6.091
21,-28.931,6.017
22,-28.009,5.969
23,-27.063,5.913
24,-26.155,5.875
25,-25.221,5.822
26,-24.335,5.785
27,-23.423,5.741
28,-22.547,5.703
29,-21.64,5.67
30,-20.783,5.633
31,-19.901,5.607
32,-19.058,5.579
33,-18.161,-6.604
34,-17.323,-6.568
35,-16.467,-6.535
36,-15.637,-6.504
37,-14.785,-6.479
38,-13.97,-6.45
39,-13.115,-6.414
40,-12.308,-6.392
41,-11.459,-6.37
42,-10.655,-6.351
43,-9.814,-6.322
44,-9.012,-6.304
45,-8.185,-6.298
46,-7.381,-6.272
47,-6.554,-6.26
48,-5.755,-6.237
49,-4.936,-6.24
50,-4.142,-6.22
51,-3.311,-6.216
52,-2.518,-6.213
53,-1.703,-6.206
54,-0.909,-6.196
55,-0.082,-6.195
56,0.709,-6.192
57,1.531,-6.186
58,2.327,-6.191
59,3.144,-6.19
60,3.934,-6.2
61,4.757,-6.207
62,5.549,-6.205
63,6.391,-6.21
64,7.185,-6.212
65,8.017,5.438
66,8.819,5.449
67,9.645,5.466
68,10.45,5.482
69,11.291,5.504
70,12.105,5.524
71,12.945,5.546
72,13.761,5.563
73,14.611,5.583
74,15.435,5.609
75,16.289,5.64
76,17.114,5.668
77,17.998,5.708
78,18.831,5.735
79,19.715,5.78
80,20.568,5.819
81,21.449,5.868
82,22.318,5.903
83,23.232,5.942
84,24.105,5.987
85,25.027,6.039
86,25.919,6.095
87,26.865,6.148
88,27.774,6.209
89,28.743,6.267
90,29.684,6.333
91,30.675,6.405
92,31.629,6.481
93,32.639,6.564
94,33.62,6.662
95,34.66,6.736
96,35.687,6.846
97,19.268,-6.499
98,20.121,-6.533
99,21.006,-6.567
100,21.874,-6.604
101,22.771,-6.646
102,23.645,-6.683
103,24.557,-6.728
104,25.448,-6.77
105,26.393,-6.829
106,27.3,-6.885
107,28.241,-6.959
108,29.174,-7.015
109,30.16,-7.075
110,31.119,-7.151
111,32.116,-7.231
112,33.1,-7.311
113,34.129,-7.395
114,35.141,-7.501
115,36.215,-7.594
116,37.266,-7.704
117,38.406,-7.826
118,39.513,-7.963
119,40.689,-8.097
120,41.848,-8.255
121,43.085,-8.429
122,44.325,-8.611
123,45.641,-8.814
124,46.966,-9.052
125,48.416,-9.326
126,49.816,-9.614
127,51.418,-9.96
128,52.992,-10.359
